name,population_code,population_latitude,population_longitude,site_name,survey_date,maternal_number,comments
Amorpha canescens,3031,43.9662837,-91.293709,Holland Sand Prairie,2013-09-25,100,Average per maternal line used instead of average seed/fruit
Bouteloua curtipendula,4003,38.180514,-95.259569,Anderson County Prairie,2013-08-29,200,
Echinacea pallida,3033,43.9695977,-91.2948173,Holland Sand Prairie,2013-09-25,174,
Asclepias syriaca,3032,43.9664308,-91.294632,Holland Sand Prairie,2013-09-25,200,
Amorpha canescens,4004,38.16978,-95.24857,Anderson County Prairie,2013-08-29,100,
Helianthus mollis,4034,38.18269,-95.26068,Anderson County Prairie,2013-10-16,100,
Chamaecrista fasciculata,3035,44.7898221,-92.9598355,Gray Cloud Dunes SNA,2013-09-26,200,
Chamaecrista fasciculata,3034,44.7989137,-92.9639575,Gray Cloud Dunes SNA,2013-09-26,159,
Impatiens capensis,3013,47.23935,-95.2092311,Itasca State Park,2013-10-02,112,
Schizachyrium scoparium,3051,43.966285,-91.2933537,Holland Sand Prairie,2013-10-14,100,
Andropogon gerardi,3052,43.966285,-91.2933537,Holland Sand Prairie,2013-10-14,200,
Andropogon gerardi,3054,41.8895845,-89.3525955,Nachusa Grasslands,2013-10-16,200,
Sorghastrum nutans,4025,39.10157,-96.61448,Konza Prairie,2013-10-14,100,
Sorghastrum nutans,3055,41.8895845,-89.3525955,Nachusa Grasslands,2013-10-16,100,
Andropogon gerardi,3053,41.870979,-89.344833,Nachusa Grasslands,2013-10-15,200,
Andropogon gerardi,4026,39.10157,-96.61448,Konza Prairie,2013-10-14,200,
Sorghastrum nutans,3056,41.870979,-89.344833,Nachusa Grasslands,2013-10-16,100,
Schizachyrium scoparium,4027,39.10157,-96.61448,Konza Prairie,2013-10-14,100,
Amorpha canescens,5997,39.09156,-96.54998,Konza Prairie,2013-08-31,99,
Echinacea pallida,4005,39.09961,-96.58717,Konza Prairie,2013-08-31,200,
Echinacea pallida,4006,39.10134,-96.61433,Konza Prairie,2013-08-31,200,
Echinacea pallida,5995,36.847737,-96.436608,Tallgrass Prairie Preserve,2013-08-28,200,
Bouteloua curtipendula,5996,36.847582,-96.436706,Tallgrass Prairie Preserve,2013-08-28,200,
